subsector_ssp,mex_sector,mex_subsector,gas,ID,vars,ids,MEX,
frst,"[4] Uso de la tierra, cambios de uso de la tierra y silvicultura (UTCUTS)",[4G] Productos de madera recolectada,CO2,[4G] Productos de madera recolectada:CO2,emission_co2e_co2_frst_harvested_wood_products,57:[4G] Productos de madera recolectada:CO2,-3.42753022,57
frst,"[4] Uso de la tierra, cambios de uso de la tierra y silvicultura (UTCUTS)",[4G] Productos de madera recolectada,CO2,[4G] Productos de madera recolectada:CO2,emission_co2e_co2_frst_harvested_wood_products,58:[4G] Productos de madera recolectada:CO2,-3.42753022,58
frst,"[4] Uso de la tierra, cambios de uso de la tierra y silvicultura (UTCUTS)",[4(IV)] Emisiones de GEI por quemado de biomasa,CH4,[4(IV)] Emisiones de GEI por quemado de biomasa:CH4,emission_co2e_ch4_frst_methane_mangroves:emission_co2e_ch4_frst_methane_primary:emission_co2e_ch4_frst_methane_secondary,59:[4(IV)] Emisiones de GEI por quemado de biomasa:CH4,2.5037663,59
frst,"[4] Uso de la tierra, cambios de uso de la tierra y silvicultura (UTCUTS)",[4(IV)] Emisiones de GEI por quemado de biomasa,N2O,[4(IV)] Emisiones de GEI por quemado de biomasa:N2O,emission_co2e_co2_frst_forest_fires,60:[4(IV)] Emisiones de GEI por quemado de biomasa:N2O,1.23319089,60
waso,[5] Residuos,[5A] Eliminación de residuos sólidos,CH4,[5A] Eliminación de residuos sólidos:CH4,emission_co2e_ch4_waso_landfilled_chemical_industrial:emission_co2e_ch4_waso_landfilled_food:emission_co2e_ch4_waso_landfilled_glass:emission_co2e_ch4_waso_landfilled_metal:emission_co2e_ch4_waso_landfilled_nappies:emission_co2e_ch4_waso_landfilled_other:emission_co2e_ch4_waso_landfilled_paper:emission_co2e_ch4_waso_landfilled_plastic:emission_co2e_ch4_waso_landfilled_rubber_leather:emission_co2e_ch4_waso_landfilled_sludge:emission_co2e_ch4_waso_landfilled_textiles:emission_co2e_ch4_waso_landfilled_wood:emission_co2e_ch4_waso_landfilled_yard:emission_co2e_ch4_waso_open_dump_chemical_industrial:emission_co2e_ch4_waso_open_dump_food:emission_co2e_ch4_waso_open_dump_glass:emission_co2e_ch4_waso_open_dump_metal:emission_co2e_ch4_waso_open_dump_nappies:emission_co2e_ch4_waso_open_dump_other:emission_co2e_ch4_waso_open_dump_paper:emission_co2e_ch4_waso_open_dump_plastic:emission_co2e_ch4_waso_open_dump_rubber_leather:emission_co2e_ch4_waso_open_dump_sludge:emission_co2e_ch4_waso_open_dump_textiles:emission_co2e_ch4_waso_open_dump_wood:emission_co2e_ch4_waso_open_dump_yard,61:[5A] Eliminación de residuos sólidos:CH4,34.47101742,61
waso,[5] Residuos,[5B] Tratamiento biológico de los residuos sólidos,CH4,[5B] Tratamiento biológico de los residuos sólidos:CH4,emission_co2e_ch4_waso_biogas_food:emission_co2e_ch4_waso_biogas_sludge:emission_co2e_ch4_waso_biogas_yard:emission_co2e_ch4_waso_compost_food:emission_co2e_ch4_waso_compost_sludge:emission_co2e_ch4_waso_compost_yard,62:[5B] Tratamiento biológico de los residuos sólidos:CH4,0.09848479,62
waso,[5] Residuos,[5B] Tratamiento biológico de los residuos sólidos,N2O,[5B] Tratamiento biológico de los residuos sólidos:N2O,emission_co2e_n2o_waso_compost_food:emission_co2e_n2o_waso_compost_sludge:emission_co2e_n2o_waso_compost_yard,63:[5B] Tratamiento biológico de los residuos sólidos:N2O,0.06990661,63
waso,[5] Residuos,[5C] Incineración y quema a cielo abierto de residuos,CH4,[5C] Incineración y quema a cielo abierto de residuos:CH4,emission_co2e_ch4_waso_incineration,64:[5C] Incineración y quema a cielo abierto de residuos:CH4,0.78025972,64
waso,[5] Residuos,[5C] Incineración y quema a cielo abierto de residuos,CO2,[5C] Incineración y quema a cielo abierto de residuos:CO2,emission_co2e_co2_waso_incineration,65:[5C] Incineración y quema a cielo abierto de residuos:CO2,2.07769723,65
waso,[5] Residuos,[5C] Incineración y quema a cielo abierto de residuos,N2O,[5C] Incineración y quema a cielo abierto de residuos:N2O,emission_co2e_n2o_waso_incineration,66:[5C] Incineración y quema a cielo abierto de residuos:N2O,0.17221412,66
trww,[5] Residuos,[5D] Tratamiento y eliminación de aguas residuales,CH4,[5D] Tratamiento y eliminación de aguas residuales:CH4,emission_co2e_ch4_trww_treated_advanced_aerobic_treatment:emission_co2e_ch4_trww_treated_advanced_anaerobic_treatment:emission_co2e_ch4_trww_treated_latrine_improved_treatment:emission_co2e_ch4_trww_treated_latrine_unimproved_treatment:emission_co2e_ch4_trww_treated_primary_treatment:emission_co2e_ch4_trww_treated_secondary_aerobic_treatment:emission_co2e_ch4_trww_treated_secondary_anaerobic_treatment:emission_co2e_ch4_trww_treated_septic_treatment:emission_co2e_ch4_trww_untreated_no_sewerage_treatment:emission_co2e_ch4_trww_untreated_with_sewerage_treatment,67:[5D] Tratamiento y eliminación de aguas residuales:CH4,23.61854853,67
trww,[5] Residuos,[5D] Tratamiento y eliminación de aguas residuales,N2O,[5D] Tratamiento y eliminación de aguas residuales:N2O,emission_co2e_n2o_trww_treated_advanced_aerobic_effluent:emission_co2e_n2o_trww_treated_advanced_aerobic_treatment:emission_co2e_n2o_trww_treated_advanced_anaerobic_effluent:emission_co2e_n2o_trww_treated_advanced_anaerobic_treatment:emission_co2e_n2o_trww_treated_latrine_improved_effluent:emission_co2e_n2o_trww_treated_latrine_improved_treatment:emission_co2e_n2o_trww_treated_latrine_unimproved_effluent:emission_co2e_n2o_trww_treated_latrine_unimproved_treatment:emission_co2e_n2o_trww_treated_primary_effluent:emission_co2e_n2o_trww_treated_primary_treatment:emission_co2e_n2o_trww_treated_secondary_aerobic_effluent:emission_co2e_n2o_trww_treated_secondary_aerobic_treatment:emission_co2e_n2o_trww_treated_secondary_anaerobic_effluent:emission_co2e_n2o_trww_treated_secondary_anaerobic_treatment:emission_co2e_n2o_trww_treated_septic_effluent:emission_co2e_n2o_trww_treated_septic_treatment:emission_co2e_n2o_trww_untreated_no_sewerage_effluent:emission_co2e_n2o_trww_untreated_no_sewerage_treatment:emission_co2e_n2o_trww_untreated_with_sewerage_effluent:emission_co2e_n2o_trww_untreated_with_sewerage_treatment,68:[5D] Tratamiento y eliminación de aguas residuales:N2O,6.88025269,68
ccsq,[6] CCSQ,[6] CCSQ,CH4,[6] CCSQCH4,emission_co2e_ch4_ccsq_direct_air_capture,69:[6] CCSQCH4,0,69
ccsq,[6] CCSQ,[6] CCSQ,CO2,[6] CCSQCO2,emission_co2e_co2_ccsq_direct_air_capture,70:[6] CCSQCO2,0,70
ccsq,[6] CCSQ,[6] CCSQ,N2O,[6] CCSQN2O,emission_co2e_n2o_ccsq_direct_air_capture,71:[6] CCSQN2O,0,71
