time_period,primary_id,nemomod_entc_annual_production_by_technology_pp_biogas,nemomod_entc_annual_production_by_technology_pp_biomass,nemomod_entc_annual_production_by_technology_pp_coal,nemomod_entc_annual_production_by_technology_pp_coal_ccs,nemomod_entc_annual_production_by_technology_pp_gas,nemomod_entc_annual_production_by_technology_pp_gas_ccs,nemomod_entc_annual_production_by_technology_pp_geothermal,nemomod_entc_annual_production_by_technology_pp_hydropower,nemomod_entc_annual_production_by_technology_pp_nuclear,nemomod_entc_annual_production_by_technology_pp_ocean,nemomod_entc_annual_production_by_technology_pp_oil,nemomod_entc_annual_production_by_technology_pp_solar,nemomod_entc_annual_production_by_technology_pp_waste_incineration,nemomod_entc_annual_production_by_technology_pp_wind,nemomod_entc_annual_production_by_technology_st_batteries,nemomod_entc_annual_production_by_technology_st_compressed_air,nemomod_entc_annual_production_by_technology_st_flywheels,nemomod_entc_annual_production_by_technology_st_pumped_hydro
32,0,0.0451317921999331,0.0,91.43813772755615,0.0,1373.0812002567216,0.0,23.67414094989423,75.25750432266074,38.8958493363261,0.0,232.25532868220657,153.5714474324389,19.89150904667635,209.17188177610248,0.0,0.0,0.0,0.0
33,0,0.0454608945910642,0.0,94.22719992877396,0.0,1414.963165156852,0.0,24.39625377185905,75.2575043226606,38.89584933632611,0.0,239.3396216737046,158.2557108028973,20.292984040579785,214.88426224344093,0.0,0.0,0.0,0.0
34,0,0.0457917662886553,0.0,97.11804358188957,0.0,1458.3735316802972,0.0,25.14471871010922,75.25750432266076,38.89584933632611,0.0,246.68244229001832,163.1109173408149,20.70260080175954,220.80580263515108,0.0,0.0,0.0,0.0
35,0,0.0461250893245691,0.0,100.12125883653782,0.0,1503.471326855964,0.0,25.922277647860735,75.25750432266052,38.89584933632611,0.0,254.31068979599905,168.15485332933758,21.121526185957975,226.95822561727968,0.0,0.0,0.0,0.0
36,0,0.0463849159738597,0.0,103.5281662201082,0.0,1554.6311666739457,0.0,26.804356041038396,75.25750432266099,38.89584933632611,0.0,262.96432616508827,173.87679508324854,21.534551451297,233.94420307890547,0.0,0.0,0.0,0.0
37,0,0.0466461697588105,0.0,107.01215075070176,0.0,1606.9484358116529,0.0,27.70639038791319,75.25750432266152,38.89584933632611,0.0,271.8137405602907,179.728188828708,21.954138682157556,241.08846206809145,0.0,0.0,0.0,0.0
38,0,0.0469070010251206,0.0,110.5542776622422,0.0,1660.138800270419,0.0,28.62347831041744,75.25750432266092,38.89584933632611,0.0,280.81083816659935,185.6772333993164,22.3772937167271,248.35216506531503,0.0,0.0,0.0,0.0
39,0,0.0471674898112458,0.0,114.15535450307954,0.0,1714.2143866036197,0.0,29.555828889946913,75.25750432266092,38.89584933632611,0.0,289.95767017853893,191.7252850821993,22.80407310206355,255.73695705100045,0.0,0.0,0.0,0.0
40,0,0.0474259740131018,0.0,117.79690436346986,0.0,1768.897736214234,0.0,30.498658291479742,75.25750432266094,38.8958493363261,0.0,299.20730474849927,197.841311686151,23.23165036614225,263.20493537829174,0.0,0.0,0.0,0.0
41,0,0.0476827343794351,0.0,121.4811796738104,0.0,1824.2226727332993,0.0,31.452549689127174,75.25750432266092,38.8958493363261,0.0,308.56546311025915,204.02909619500028,23.660349177158952,270.7607077508728,0.0,0.0,0.0,0.0
42,0,0.0479389947707933,0.0,125.2214389212843,0.0,1880.388292292336,0.0,32.42093582224893,75.25750432266092,38.89584933632611,0.0,318.0658221777964,210.3109063967628,24.09210342666089,278.43145627444005,0.0,0.0,0.0,0.0
43,0,0.0481949366947092,0.0,129.0197116105766,0.0,1937.4250709574392,0.0,33.40434214752168,75.2575043226609,38.89584933632611,0.0,327.71353694758636,216.6901508688638,24.52714886402223,286.2213365768247,0.0,0.0,0.0,0.0
44,0,0.0484516828435368,0.0,132.8892841939161,0.0,1995.5325247973603,0.0,34.4062086447023,75.25750432266092,38.89584933632611,0.0,337.5423553655749,223.1891443669482,24.96735002479135,294.15759361823115,0.0,0.0,0.0,0.0
45,0,0.0487103492153756,0.0,136.8441669624157,0.0,2054.9210394106617,0.0,35.430162701823825,75.2575043226609,38.89584933632611,0.0,347.58786394793805,229.83141734273576,25.41462516602575,302.2689599867927,0.0,0.0,0.0,0.0
0,72072,0.0,0.772069781348688,128.49960941714036,0.0,707.914720402049,0.0,24.05946924340927,117.11982310689604,44.002602133053365,0.0,120.01988189803036,5.23329662493487,0.0,33.2385552096935,0.0,0.0,0.0,0.0
1,72072,0.0,0.0,130.2247394595512,0.0,723.7974650000232,0.0,23.145376049672777,115.56499760709964,39.78158586560232,0.0,127.72121361378882,7.247046786321789,0.0,39.06629190499255,0.0,0.0,0.0,0.0
2,72072,0.0069787055871744,0.0,115.4596328168888,0.0,706.462447400868,0.0,26.055937769921268,118.90624483744588,40.46329616926124,0.0,143.1366305194312,11.700046491918837,2.433601183069703,38.82364560399505,0.0,0.0,0.0,0.0
3,72072,0.0141366948606273,0.0,95.09445261047944,0.0,706.3373277687645,0.0,18.71869546657635,113.27335251476045,47.62384187916803,0.0,164.32750459748294,12.789560247323712,4.948104726689981,44.84476916624007,0.0,0.0,0.0,0.0
4,72072,0.0213703439243982,0.0,96.8262211618496,0.0,720.076059805964,0.0,19.945992864153,88.4020115078597,41.71101801016192,0.0,171.5109367914177,34.33332625701814,7.439038591865297,62.92064287840672,0.0,0.0,0.0,0.0
5,72072,0.0282183038801411,0.0,67.72646029108118,0.0,701.2531711799348,0.0,20.747712227147563,104.58484904895784,43.921190094559776,0.0,179.68610684276524,43.75682978827804,9.420094954298124,76.83673422301926,0.0,0.0,0.0,0.0
6,72072,0.0353073266901978,0.0,57.3556145756709,0.0,744.2230870753128,0.0,14.57695293898522,115.3894583092047,39.83520591486471,0.0,173.1226108560998,47.47819936226203,12.133178722929662,71.68283011526863,0.0,0.0,0.0,0.0
7,72072,0.0358173176425444,0.0,94.25614471495904,0.0,729.1485012156288,0.0,23.806425582747313,140.31961778202765,42.46653835879686,0.0,96.54190080328333,80.40070295226674,12.466211079812494,80.74121781622905,0.0,0.0,0.0,0.0
8,72072,0.036290670848171,0.0,89.79116409170011,0.0,834.4758693025841,0.0,16.598400915258644,75.16720878521124,47.5787541028328,0.0,89.88719776992563,77.96859798160166,12.75922544196283,79.5155985313504,0.0,0.0,0.0,0.0
9,72072,0.0367024396645746,0.0,52.70267358761007,0.0,791.4099314011471,0.0,21.737839475930137,88.51256960905495,45.74655514916164,0.0,133.86620813508307,88.51477148981259,12.98997754388577,101.02671938773696,0.0,0.0,0.0,0.0
10,72072,0.0370507915453896,0.0,53.100597181974805,0.0,797.3853528187263,0.0,21.90653018005339,89.1808704265978,46.09195761957897,0.0,134.8769447652948,89.18308893232428,13.149256323809349,101.7895064072383,0.0,0.0,0.0,0.0
11,72072,0.0685238725745581,6.825440186678022,53.16410256200387,0.0,798.3389816392615,0.0,16.743296136350168,75.2575043226609,38.89584933632612,0.0,135.0382501382857,89.49744244732133,13.02544132159387,120.69480590242274,0.0,0.0,0.0,0.0
12,72072,0.1009276856425952,12.622904963349914,53.28776674037913,0.0,800.195985321666,0.0,13.796673161428991,75.25750432266135,38.895849336326116,0.0,135.35236047680047,89.49744244732133,12.904830123514117,117.85447727584464,0.0,0.0,0.0,0.0
13,72072,0.1342509330533492,0.0,53.42912999255679,0.0,802.3187672242307,0.0,13.833273355181417,75.2575043226609,38.89584933632611,0.0,135.7114269387174,89.73486372240639,12.777737604752376,130.28148593674925,0.0,0.0,0.0,0.0
14,72072,0.1687811442695442,0.0,54.060044585979135,0.0,811.7928990113085,0.0,13.99662271227932,75.25750432266102,38.89584933632611,0.0,137.31396697187415,90.79449233827788,12.643565761197554,131.18602427542947,0.0,0.0,0.0,0.0
15,72072,0.2048069317213343,0.0,54.751709771038165,0.0,822.1792923268237,0.0,14.17570093377603,75.25750432266092,38.8958493363261,0.0,139.0708151414264,94.68781973731006,12.510375245023566,129.48582756655497,0.0,0.0,0.0,0.0
16,72072,0.2425729749941882,0.0,55.48443588125325,0.0,833.1822772068446,0.0,14.365410191225967,75.2575043226611,38.8958493363261,0.0,140.93195916504047,98.8503931130729,12.371293792283147,127.67228440549918,0.0,0.0,0.0,0.0
17,72072,0.2824787360272717,0.0,56.27920709156405,0.0,845.1169626073123,0.0,14.571183472740922,75.25750432266092,38.8958493363261,0.0,142.95069941134642,101.87319173594764,12.231075893760652,127.23223349522046,0.0,0.0,0.0,0.0
18,72072,0.3248853280152645,0.0,57.14027034681148,0.0,858.0471227942448,0.0,14.7941203498265,75.25750432266092,38.895849336326094,0.0,145.13782323444454,107.5574884985083,12.089329428876914,124.3801923126112,0.0,0.0,0.0,0.0
19,72072,0.3701608209543912,0.0,58.06665190380428,0.0,871.958135548697,0.0,15.033968711775598,75.2575043226609,38.895849336326094,0.0,147.4908573004441,108.1345583865712,11.94563766152284,126.88104713545935,0.0,0.0,0.0,0.0
20,72072,0.4186691350509285,0.0,59.06707952880975,0.0,886.9810614114851,0.0,15.292988254311732,75.25750432266092,38.89584933632611,0.0,150.03197037036156,108.5631794039701,11.799556290602748,129.80865596580105,0.0,0.0,0.0,0.0
21,72072,0.4706322725910254,0.0,60.13721296779522,0.0,903.0507249387006,0.0,15.570055247355944,75.25750432266189,38.8958493363261,0.0,152.75013808224054,108.57642165383857,11.646413519315244,133.4141008499558,0.0,0.0,0.0,0.0
